***current time: 1375648574647, job name: PiEstimator, job startTime: 1375648574602, job relativeDeadline: 300, job deadline: 1375648874602
JobName=PiEstimator, ID=attempt_201308042034_0002_m_000101_0, Type=SC_MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=4579 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000000_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5598 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000001_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5594 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000002_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5534 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000003_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5550 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000004_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5514 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000005_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5580 
 ***current time: 1375648602267, job name: TeraSort, job startTime: 1375648602205, job relativeDeadline: 200, job deadline: 1375648802205
JobName=PiEstimator, ID=attempt_201308042034_0002_m_000006_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=6978 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000007_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=6582 
 JobName=TeraSort, ID=attempt_201308042034_0003_m_000017_0, Type=SC_MAP, Status=SUCCEEDED, Machine=mastertest, ExecTime=4379 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000008_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=6088 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000009_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=6156 
 JobName=TeraSort, ID=attempt_201308042034_0003_m_000000_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, ExecTime=7412 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000010_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5602 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000011_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5518 
 JobName=TeraSort, ID=attempt_201308042034_0003_m_000001_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, ExecTime=8349 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000012_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5684 
