JobName=PiEstimator, ID=attempt_201308081533_0001_m_000000_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976089117, FinishTime=1375976093668, ExecTime=4551 
 JobName=PiEstimator, ID=attempt_201308081533_0001_m_000001_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976086251, FinishTime=1375976091403, ExecTime=5152 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000002_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976092120, FinishTime=1375976096646, ExecTime=4526 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000003_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976088896, FinishTime=1375976093797, ExecTime=4901 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000004_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976098148, FinishTime=1375976102711, ExecTime=4563 
JobName=TeraSort, ID=attempt_201308081533_0002_m_000000_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976092160, FinishTime=1375976099643, ExecTime=7483 
 JobName=PiEstimator, ID=attempt_201308081533_0001_m_000005_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976094918, FinishTime=1375976100261, ExecTime=5343 
JobName=TeraSort, ID=attempt_201308081533_0002_m_000001_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976101158, FinishTime=1375976111893, ExecTime=10735 
 JobName=PiEstimator, ID=attempt_201308081533_0001_m_000006_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976104182, FinishTime=1375976110994, ExecTime=6812 
JobName=TeraSort, ID=attempt_201308081533_0002_m_000002_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976100947, FinishTime=1375976112370, ExecTime=11423 
 JobName=PiEstimator, ID=attempt_201308081533_0001_m_000007_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976103955, FinishTime=1375976110375, ExecTime=6420 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000008_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976116225, FinishTime=1375976122090, ExecTime=5865 
JobName=TeraSort, ID=attempt_201308081533_0002_m_000004_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976112957, FinishTime=1375976121063, ExecTime=8106 
 JobName=PiEstimator, ID=attempt_201308081533_0001_m_000009_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976115963, FinishTime=1375976121300, ExecTime=5337 
JobName=TeraSort, ID=attempt_201308081533_0002_m_000003_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976113194, FinishTime=1375976124296, ExecTime=11102 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000010_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976122236, FinishTime=1375976126829, ExecTime=4593 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000011_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976125255, FinishTime=1375976129794, ExecTime=4539 
